Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,43984,180,Texas,7730337
Jae Crowder,Boston Celtics,99,SF,25,43988,235,Marquette,6796117
John Holland,Boston Celtics,30,SG,27,43987,205,Boston University,
R.J. Hunter,Boston Celtics,28,SG,22,43987,185,Georgia State,1148640
Jonas Jerebko,Boston Celtics,8,PF,29,43992,231,,5000000
Amir Johnson,Boston Celtics,90,PF,29,43991,240,,12000000
Jordan Mickey,Boston Celtics,55,PF,21,43990,235,LSU,1170960
Kelly Olynyk,Boston Celtics,41,C,25,36708,238,Gonzaga,2165160
Terry Rozier,Boston Celtics,12,PG,22,43984,190,Louisville,1824360
Marcus Smart,Boston Celtics,36,PG,22,43986,220,Oklahoma State,3431040
Jared Sullinger,Boston Celtics,7,C,24,43991,260,Ohio State,2569260
Isaiah Thomas,Boston Celtics,4,PG,27,43960,185,Washington,6912869
Evan Turner,Boston Celtics,11,SG,27,43989,220,Ohio State,3425510
James Young,Boston Celtics,13,SG,20,43988,215,Kentucky,1749840
Tyler Zeller,Boston Celtics,44,C,26,36708,253,North Carolina,2616975
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,43990,216,,3425510
Markel Brown,Brooklyn Nets,22,SG,24,43985,190,Oklahoma State,845059
Wayne Ellington,Brooklyn Nets,21,SG,28,43986,200,North Carolina,1500000
